"Брызги кислоты","Acid splash"
"Подмога","Aid"
"Сигнал тревоги","Alarm"
"Смена обличья","Alter self"
"Дружба с животными","Animal friendship"
"Почтовое животное","Animal messenger"
"Превращение в животных","Animal shapes"
"Восставший труп","Animate dead"
"Оживление вещей","Animate objects"
"Преграда жизни","Antilife shell"
"Преграда магии","Antimagic field"
"Антипатия/симпатия","Antipathy/sympathy"
"Магический глаз","Arcane eye"
"Магические врата","Arcane gate"
"Волшебный замок","Arcane lock"
"Доспех Агатиса","Armor of Agathys"
"Руки Хадара","Arms of Hadar"
"Проекция в астрал","Astral projection"
"Гадание","Augury"
"Аура жизни","Aura of life"
"Аура очищения","Aura of purity"
"Аура живучести","Aura of vitality"
"Пробуждение разума","Awaken"
"Порча","Bane"
"Изгоняющая кара","Banishing smite"
"Изгнание","Banishment"
"Дубовая кора","Barkskin"
"Маяк надежды","Beacon of hope"
"Животные чувства","Beast sense"
"Проклятие","Bestow curse"
"Длань Бигби","Bigby’s hand"
"Стена клинков","Blade barrier"
"Защита от оружия","Blade ward"
"Благословение","Bless"
"Усыхание","Blight"
"Ослепляющая кара","Blinding smite"
"Глухота/слепота","Blindness/deafness"
"Мерцание","Blink"
"Размытый образ","Blur"
"Клеймящая кара","Branding smite"
"Огненные ладони","Burning hands"
"Призыв молнии","Call lightning"
"Умиротворение","Calm emotions"
"Пляшущая молния","Chain lightning"
"Очарование личности","Charm person"
"Леденящее прикосновение","Chill touch"
"Цветной шарик","Chromatic orb"
"Круг смерти","Circle of death"
"Круг силы","Circle of power"
"Подсматривание","Clairvoyance"
"Двойник","Clone"
"Облако кинжалов","Cloud of daggers"
"Облако смерти","Cloudkill"
"Сверкающие брызги","Color spray"
"Приказ","Command"
"Общение","Commune"
"Общение с природой","Commune with nature"
"Вызов на дуэль","Compelled duel"
"Понимание языков","Comprehend languages"
"Принуждение","Compulsion"
"Конус холода","Cone of cold"
"Смятение","Confusion"
"Призыв животных","Conjure animals"
"Призыв заграждения","Conjure barrage"
"Призыв небожителя","Conjure celestial"
"Призыв элементаля","Conjure elemental"
"Призыв феи","Conjure fey"
"Призыв малых элементалей","Conjure minor elementals"
"Призыв залпа","Conjure volley"
"Призыв лесных обитателей","Conjure woodland beings"
"Связь с иным миром","Contact other plane"
"Заражение","Contagion"
"Предосторожность","Contingency"
"Вечный огонь","Continual flame"
"Власть над водами","Control water"
"Власть над погодой","Control weather"
"Завеса стрел","Cordon of arrows"
"Контрзаклинание","Counterspell"
"Сотворение пищи и воды","Create food and water"
"Сотворение или уничтожение воды","Create or destroy water"
"Сотворение нежити","Create undead"
"Сотворение","Creation"
"Корона безумия","Crown of madness"
"Мантия крестоносца","Crusader's mantle"
"Лечение ран","Cure wounds"
"Пляшущие огоньки","Dancing lights"
"Тьма","Darkness"
"Тёмное зрение","Darkvision"
"Дневной свет","Daylight"
"Защита от смерти","Death ward"
"Замедленный огненный шар","Delayed blast fireball"
"Демиплан","Demiplane"
"Разрушительная волна","Destructive wave"
"Обнаружение добра и зла","Detect evil and good"
"Обнаружение магии","Detect magic"
"Обнаружение болезней и яда","Detect poison and disease"
"Обнаружение мыслей","Detect thoughts"
"Переносящая дверь","Dimension door"
"Маскировка","Disguise self"
"Распад","Disintegrate"
"Рассеивание добра и зла","Dispel evil and good"
"Рассеивание магии","Dispel magic"
"Диссонирующий шёпот","Dissonant whisper"
"Предсказание","Divination"
"Божественное благоволение","Divine favor"
"Божественное слово","Divine word"
"Подчинение зверя","Dominate beast"
"Подчинение чудовища","Dominate monster"
"Подчинение личности","Dominate person"
"Дромиджево появление","Drawmij’s instant summons"
"Вещий сон","Dream"
"Искусство друидов","Druidcraft"
"Землетрясение","Earthquake"
"Мистический заряд","Eldritch blast"
"Стихийное оружие","Elemental weapon"
"Улучшение характеристики","Enhance ability"
"Увеличение/уменьшение","Enlarge/reduce"
"Опутывающий удар","Ensnaring strike"
"Опутывание","Entangle"
"Речь златоуста","Enthrall"
"Эфирность","Etherealness"
"Эвардовы чёрные щупальца","Evard's black tentackles"
"Поспешное отступление","Expeditious retreat"
"Разящее око","Eyebite"
"Изготовление","Fabricate"
"Огонь фей","Faerie fire"
"Псевдожизнь","False life"
"Ужас","Fear"
"Падение пёрышком","Feather fall"
"Слабоумие","Feeblemind"
"Притворная смерть","Feign death"
"Поиск фамильяра","Find familiar"
"Поиск скакуна","Find steed"
"Поиск пути","Find the path"
"Поиск ловушек","Find traps"
"Перст смерти","Finger of death"
"Огненный снаряд","Fire bolt"
"Огненный щит","Fire shield"
"Огненная буря","Fire storm"
"Огненный шар","Fireball"
"Горящий клинок","Flame blade"
"Небесный огонь","Flame strike"
"Пылающий шар","Flaming sphere"
"Окаменение","Flesh to stone"
"Полёт","Fly"
"Туманное облако","Fog cloud"
"Запрет","Forbiddance"
